footfall,tempMode,AQ,USS,CS,VOC,RP,IP,Temperature,fail,collection_time
67,0,6,1,5,6,57,6,12,1,2025-05-10 09:17:15
0,5,4,5,4,5,37,5,12,1,2025-05-10 09:17:20
470,7,5,5,2,1,61,3,13,0,2025-05-10 09:17:25
0,7,6,2,6,6,56,3,13,1,2025-05-10 09:17:30
4,6,3,4,5,1,53,3,13,0,2025-05-10 09:17:35
20,0,4,5,3,2,24,6,13,1,2025-05-10 09:17:40
2800,7,4,1,6,5,74,3,13,1,2025-05-10 09:17:45
0,0,4,4,3,1,36,3,13,0,2025-05-10 09:17:50
1,0,6,2,4,5,30,5,13,1,2025-05-10 09:17:55
640,0,4,7,4,1,55,2,13,0,2025-05-10 09:18:00
170,3,3,2,7,2,35,6,13,0,2025-05-10 09:18:05
270,2,3,4,6,0,26,4,13,0,2025-05-10 09:18:10
390,0,3,4,6,2,25,4,13,0,2025-05-10 09:18:15
16,2,6,7,4,3,27,3,13,0,2025-05-10 09:18:20
11,7,4,1,6,5,66,3,13,1,2025-05-10 09:18:25
0,1,5,2,6,2,39,2,13,0,2025-05-10 09:18:30
270,7,1,1,2,2,58,5,13,0,2025-05-10 09:18:35
170,2,4,4,4,0,53,3,13,1,2025-05-10 09:18:40
900,7,6,7,4,0,76,3,13,0,2025-05-10 09:18:45
270,7,5,2,7,1,51,3,13,0,2025-05-10 09:18:50
0,7,4,2,7,0,70,2,13,0,2025-05-10 09:18:55
350,3,6,3,6,6,68,4,13,1,2025-05-10 09:19:00
0,0,5,4,5,2,32,3,13,1,2025-05-10 09:19:05
6,0,5,4,5,5,55,3,13,0,2025-05-10 09:19:10
290,7,2,2,6,0,52,4,13,0,2025-05-10 09:19:15
630,7,6,4,6,4,73,2,13,1,2025-05-10 09:19:20
900,0,5,4,7,0,42,2,13,0,2025-05-10 09:19:25
31,2,4,4,3,4,23,5,13,1,2025-05-10 09:19:30
1600,5,2,3,6,0,30,7,14,0,2025-05-10 09:19:35
71,7,2,2,7,0,68,4,14,0,2025-05-10 09:19:40
200,7,5,2,3,2,68,3,14,0,2025-05-10 09:19:45
0,0,6,4,7,3,68,6,14,0,2025-05-10 09:19:50
30,5,2,3,6,0,38,5,14,0,2025-05-10 09:19:55
10,1,4,3,6,2,74,3,14,0,2025-05-10 09:20:00
0,7,5,6,3,0,59,2,14,0,2025-05-10 09:20:05
900,2,5,2,5,2,73,2,14,0,2025-05-10 09:20:10
71,7,2,3,6,0,79,3,14,0,2025-05-10 09:20:15
22,3,7,1,6,5,28,4,14,1,2025-05-10 09:20:20
0,7,6,2,6,6,50,3,14,1,2025-05-10 09:20:25
0,4,6,3,1,1,36,4,14,0,2025-05-10 09:20:30
0,3,6,2,6,6,50,3,14,1,2025-05-10 09:20:35
0,1,6,2,6,6,61,3,14,1,2025-05-10 09:20:40
7300,3,2,2,6,0,37,4,14,0,2025-05-10 09:20:45
83,0,3,4,7,0,29,6,14,0,2025-05-10 09:20:50
93,7,2,3,7,0,39,4,14,0,2025-05-10 09:20:55
0,7,4,5,4,2,83,6,14,1,2025-05-10 09:21:00
51,7,6,1,5,4,68,6,14,1,2025-05-10 09:21:05
31,2,6,1,5,6,25,4,14,1,2025-05-10 09:21:10
93,2,1,3,6,1,41,6,14,0,2025-05-10 09:21:15
0,7,3,2,6,1,67,3,14,0,2025-05-10 09:21:20
0,3,4,2,6,4,36,6,14,1,2025-05-10 09:21:25
31,4,6,2,6,4,66,4,14,1,2025-05-10 09:21:30
900,1,3,2,7,1,55,4,14,0,2025-05-10 09:21:35
0,4,3,2,6,2,42,5,14,0,2025-05-10 09:21:40
2,7,6,3,5,5,42,3,14,1,2025-05-10 09:21:45
110,3,4,5,7,1,36,3,14,0,2025-05-10 09:21:50
63,1,6,4,6,4,53,5,14,1,2025-05-10 09:21:55
900,0,3,2,5,1,36,5,14,0,2025-05-10 09:22:00
31,3,4,3,6,2,29,7,14,0,2025-05-10 09:22:05
510,1,4,4,6,0,31,3,14,0,2025-05-10 09:22:10
270,2,3,4,6,1,43,6,14,0,2025-05-10 09:22:15
9,3,3,4,7,1,33,6,14,0,2025-05-10 09:22:20
3,1,6,6,2,0,63,3,14,0,2025-05-10 09:22:25
29,1,5,2,4,2,25,5,14,0,2025-05-10 09:22:30
45,2,3,2,6,0,72,4,14,0,2025-05-10 09:22:35
83,5,3,3,6,1,40,4,14,0,2025-05-10 09:22:40
22,7,4,2,6,2,27,6,14,0,2025-05-10 09:22:45
15,3,5,4,7,2,26,4,15,0,2025-05-10 09:22:50
110,7,5,2,5,6,67,3,15,1,2025-05-10 09:22:55
8,0,4,5,5,1,21,3,15,0,2025-05-10 09:23:00
11,5,6,2,6,6,27,7,15,1,2025-05-10 09:23:05
56,4,6,5,3,0,78,6,15,1,2025-05-10 09:23:10
8,3,4,4,3,1,32,3,15,0,2025-05-10 09:23:15
100,5,4,2,6,1,68,4,15,0,2025-05-10 09:23:20
900,7,4,2,6,5,76,4,15,0,2025-05-10 09:23:25
67,7,3,3,6,0,33,5,15,0,2025-05-10 09:23:30
35,4,6,2,5,4,38,2,15,1,2025-05-10 09:23:35
35,3,4,3,5,1,49,7,15,0,2025-05-10 09:23:40
22,0,5,4,6,5,61,4,15,1,2025-05-10 09:23:45
110,7,7,1,5,4,57,3,15,1,2025-05-10 09:23:50
12,0,4,2,5,2,20,3,15,0,2025-05-10 09:23:55
7300,7,4,2,4,4,63,6,15,1,2025-05-10 09:24:00
0,0,4,1,5,4,53,3,15,1,2025-05-10 09:24:05
19,5,4,2,6,5,35,4,15,1,2025-05-10 09:24:10
470,3,4,4,7,0,39,3,15,0,2025-05-10 09:24:15
4,3,3,5,3,4,48,3,15,1,2025-05-10 09:24:20
640,4,6,2,5,4,62,3,15,1,2025-05-10 09:24:25
640,2,4,2,3,1,30,5,15,0,2025-05-10 09:24:30
200,7,7,1,4,6,26,6,15,1,2025-05-10 09:24:35
0,7,3,2,4,5,74,6,15,1,2025-05-10 09:24:40
29,4,3,4,6,2,37,5,15,0,2025-05-10 09:24:45
330,2,4,5,5,1,43,5,15,0,2025-05-10 09:24:50
19,5,5,1,4,6,68,3,15,1,2025-05-10 09:24:55
1,7,5,3,4,5,73,5,15,1,2025-05-10 09:25:00
110,5,6,1,6,6,60,7,15,1,2025-05-10 09:25:05
0,7,5,4,6,1,35,3,15,0,2025-05-10 09:25:10
350,4,3,4,6,0,29,6,15,0,2025-05-10 09:25:15
2,5,3,3,5,1,25,6,15,0,2025-05-10 09:25:20
0,7,2,2,6,0,25,7,15,0,2025-05-10 09:25:25
7,4,2,4,5,0,70,6,15,0,2025-05-10 09:25:30
71,1,6,2,5,6,41,3,15,1,2025-05-10 09:25:35
53,0,4,2,6,1,37,6,15,0,2025-05-10 09:25:40
0,0,6,1,6,6,39,5,15,1,2025-05-10 09:25:45
2,6,3,4,6,0,35,4,15,0,2025-05-10 09:25:50
190,4,2,3,6,0,62,7,15,0,2025-05-10 09:25:55
31,0,3,2,6,1,30,7,15,0,2025-05-10 09:26:00
16,7,4,2,6,0,74,4,15,0,2025-05-10 09:26:05
22,7,3,3,4,5,47,3,15,0,2025-05-10 09:26:10
3,4,4,5,3,1,43,6,15,0,2025-05-10 09:26:15
0,6,5,3,6,5,64,2,15,1,2025-05-10 09:26:20
0,7,4,3,5,2,75,4,15,1,2025-05-10 09:26:25
67,3,4,4,7,1,27,6,15,0,2025-05-10 09:26:30
40,7,4,4,6,0,21,3,15,0,2025-05-10 09:26:35
74,4,2,2,6,1,70,2,15,0,2025-05-10 09:26:40
3,6,5,2,6,5,67,3,15,1,2025-05-10 09:26:45
140,7,6,4,5,6,82,5,15,0,2025-05-10 09:26:50
14,0,2,2,6,0,40,6,15,0,2025-05-10 09:26:55
110,0,5,3,6,5,26,4,15,1,2025-05-10 09:27:00
35,3,4,3,5,1,29,6,15,0,2025-05-10 09:27:05
0,1,4,5,6,2,28,6,15,0,2025-05-10 09:27:10
310,7,6,4,3,5,65,3,15,0,2025-05-10 09:27:15
900,2,6,5,3,1,25,3,15,0,2025-05-10 09:27:20
0,7,3,2,7,1,65,2,15,0,2025-05-10 09:27:25
11,4,6,2,6,5,38,5,15,1,2025-05-10 09:27:30
0,2,4,3,5,5,72,7,15,1,2025-05-10 09:27:35
270,7,3,2,7,1,67,3,15,0,2025-05-10 09:27:40
51,7,3,1,7,0,74,3,15,0,2025-05-10 09:27:45
11,5,2,4,4,2,71,6,15,0,2025-05-10 09:27:50
2,0,4,6,4,0,47,3,15,0,2025-05-10 09:27:55
20,7,5,4,6,1,69,1,15,0,2025-05-10 09:28:00
31,3,3,3,6,1,29,6,15,0,2025-05-10 09:28:05
2,0,6,2,5,6,34,3,15,1,2025-05-10 09:28:10
5,3,4,3,6,0,43,4,15,0,2025-05-10 09:28:15
22,7,2,1,7,0,30,3,15,0,2025-05-10 09:28:20
0,7,5,5,4,0,76,2,15,0,2025-05-10 09:28:25
27,0,2,4,6,1,26,5,16,0,2025-05-10 09:28:30
7,7,4,3,6,2,76,5,16,0,2025-05-10 09:28:35
0,0,1,4,6,1,42,7,16,0,2025-05-10 09:28:40
0,4,3,1,4,5,33,3,16,1,2025-05-10 09:28:45
0,1,6,2,5,5,25,3,16,1,2025-05-10 09:28:50
2800,0,2,2,7,0,51,4,16,0,2025-05-10 09:28:55
0,4,4,2,5,4,57,3,16,1,2025-05-10 09:29:00
22,1,6,1,5,6,21,4,16,1,2025-05-10 09:29:05
9,7,5,1,4,5,79,7,16,1,2025-05-10 09:29:10
0,1,6,2,5,5,35,5,16,1,2025-05-10 09:29:15
9,5,4,2,5,4,57,6,16,1,2025-05-10 09:29:20
0,1,4,4,6,5,32,6,16,0,2025-05-10 09:29:25
37,5,4,5,5,2,51,6,16,0,2025-05-10 09:29:30
23,0,5,2,4,6,62,7,16,1,2025-05-10 09:29:35
0,4,5,1,6,5,48,4,16,1,2025-05-10 09:29:40
0,7,7,1,6,6,39,3,16,1,2025-05-10 09:29:45
0,5,3,2,6,5,26,6,16,1,2025-05-10 09:29:50
40,0,4,2,4,1,38,3,16,1,2025-05-10 09:29:55
0,5,3,3,4,0,50,4,16,0,2025-05-10 09:30:00
9,2,5,5,6,4,33,3,16,1,2025-05-10 09:30:05
15,5,4,3,6,2,36,3,16,0,2025-05-10 09:30:10
640,5,4,4,6,0,24,6,16,0,2025-05-10 09:30:15
0,4,3,2,6,0,25,5,16,0,2025-05-10 09:30:20
0,7,6,5,3,0,62,3,16,0,2025-05-10 09:30:25
0,2,4,3,3,6,33,3,16,1,2025-05-10 09:30:30
0,7,6,2,5,6,53,6,16,1,2025-05-10 09:30:35
22,7,6,2,5,6,68,6,16,1,2025-05-10 09:30:40
22,7,5,4,6,1,68,3,16,0,2025-05-10 09:30:45
10,1,6,1,5,5,38,3,16,1,2025-05-10 09:30:50
29,1,4,5,3,0,58,1,16,0,2025-05-10 09:30:55
170,7,4,2,6,5,34,6,16,1,2025-05-10 09:31:00
4,2,4,3,4,1,58,2,16,0,2025-05-10 09:31:05
11,0,3,4,7,1,35,5,16,0,2025-05-10 09:31:10
31,3,7,2,6,6,42,6,16,1,2025-05-10 09:31:15
0,7,4,4,6,0,54,3,16,0,2025-05-10 09:31:20
0,7,6,2,5,6,69,3,16,1,2025-05-10 09:31:25
360,2,4,6,5,0,35,4,16,0,2025-05-10 09:31:30
0,7,6,1,5,6,66,4,16,1,2025-05-10 09:31:35
900,2,3,2,7,0,58,3,16,0,2025-05-10 09:31:40
51,5,2,4,7,1,41,3,16,0,2025-05-10 09:31:45
0,2,5,2,6,4,35,6,16,0,2025-05-10 09:31:50
110,0,3,3,6,1,40,7,16,0,2025-05-10 09:31:55
1,7,4,7,2,0,53,1,16,0,2025-05-10 09:32:00
8,5,6,2,6,5,67,6,16,1,2025-05-10 09:32:05
5,5,4,4,6,0,32,5,16,0,2025-05-10 09:32:10
87,4,3,4,6,0,41,4,16,0,2025-05-10 09:32:15
3,1,2,1,6,1,43,7,16,0,2025-05-10 09:32:20
51,1,5,3,2,0,65,2,16,0,2025-05-10 09:32:25
350,7,3,3,7,0,60,5,16,0,2025-05-10 09:32:30
3,7,5,3,6,0,77,6,16,0,2025-05-10 09:32:35
630,0,6,5,4,1,35,4,16,0,2025-05-10 09:32:40
180,4,6,7,5,1,48,4,16,0,2025-05-10 09:32:45
0,0,6,2,6,6,52,3,16,1,2025-05-10 09:32:50
35,7,5,3,6,2,43,7,16,0,2025-05-10 09:32:55
0,7,6,2,6,6,43,5,16,1,2025-05-10 09:33:00
0,7,6,2,6,6,67,4,16,1,2025-05-10 09:33:05
6,1,4,4,7,0,56,3,16,0,2025-05-10 09:33:10
7300,2,3,3,4,0,62,4,16,0,2025-05-10 09:33:15
2,1,7,7,5,0,62,3,16,0,2025-05-10 09:33:20
35,3,3,2,6,1,22,6,16,0,2025-05-10 09:33:25
0,0,2,2,6,1,21,5,16,0,2025-05-10 09:33:30
45,3,6,1,6,6,34,3,16,1,2025-05-10 09:33:35
0,7,4,3,5,0,70,3,16,0,2025-05-10 09:33:40
5,1,3,2,6,2,50,3,16,0,2025-05-10 09:33:45
35,5,6,1,6,6,42,4,16,1,2025-05-10 09:33:50
900,5,6,2,6,6,73,3,16,1,2025-05-10 09:33:55
35,2,3,1,6,0,57,7,16,0,2025-05-10 09:34:00
0,7,6,1,5,6,40,6,16,1,2025-05-10 09:34:05
0,2,6,1,6,6,58,6,16,1,2025-05-10 09:34:10
11,7,4,6,2,1,62,3,16,0,2025-05-10 09:34:15
40,1,3,5,3,1,44,3,17,0,2025-05-10 09:34:20
0,3,5,3,7,6,30,6,17,0,2025-05-10 09:34:25
23,7,3,3,7,0,76,5,17,0,2025-05-10 09:34:30
270,3,4,3,3,1,50,4,17,0,2025-05-10 09:34:35
9,1,6,2,5,5,41,4,17,1,2025-05-10 09:34:40
0,6,6,3,6,6,77,3,17,1,2025-05-10 09:34:45
0,3,6,3,5,6,35,6,17,1,2025-05-10 09:34:50
0,7,4,3,4,3,39,4,17,0,2025-05-10 09:34:55
2,0,4,2,4,4,72,3,17,1,2025-05-10 09:35:00
